               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13287,            0.040329,                   0,                   0,                   0,                   0,                   0,             0.12938,            0.040566,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12593,            0.041421,                   0,                   0,                   0,                   0,                   0,             0.12972,            0.039849,                   0,            0.097297,          0.00029703,          0.00029703
                   2,             0.13507,             0.03746,                   0,                   0,                   0,                   0,                   0,             0.12949,            0.039339,                   0,             0.09549,           0.0004901,           0.0004901
                   3,             0.12771,            0.039912,                   0,                   0,                   0,                   0,                   0,             0.12912,            0.038761,                   0,            0.093679,          0.00067921,          0.00067921
                   4,              0.1289,            0.044945,                   0,                   0,                   0,                   0,                   0,             0.12809,            0.038399,                   0,            0.091864,          0.00086436,          0.00086436
                   5,             0.12737,            0.034592,                   0,                   0,                   0,                   0,                   0,             0.12668,             0.03829,                   0,            0.090046,           0.0010455,           0.0010455
                   6,              0.1105,            0.034752,                   0,                   0,                   0,                   0,                   0,              0.1251,             0.03822,                   0,            0.088223,           0.0012228,           0.0012228
                   7,             0.11924,            0.036354,                   0,                   0,                   0,                   0,                   0,             0.12385,            0.037676,                   0,            0.086396,            0.001396,            0.001396
                   8,             0.11802,            0.037867,                   0,                   0,                   0,                   0,                   0,             0.12346,             0.03704,                   0,            0.084565,           0.0015654,           0.0015654
                   9,             0.12937,            0.046415,                   0,                   0,                   0,                   0,                   0,              0.1236,            0.036446,                   0,            0.082731,           0.0017307,           0.0017307
                  10,             0.11837,            0.035721,                   0,                   0,                   0,                   0,                   0,             0.12466,            0.035454,                   0,            0.080892,           0.0018921,           0.0018921
                  11,             0.12147,            0.041016,                   0,                   0,                   0,                   0,                   0,              0.1239,             0.03477,                   0,             0.07905,           0.0020495,           0.0020495
                  12,             0.12105,             0.03706,                   0,                   0,                   0,                   0,                   0,             0.12194,            0.034915,                   0,            0.077203,            0.002203,            0.002203
                  13,             0.11775,            0.037259,                   0,                   0,                   0,                   0,                   0,             0.12119,            0.034764,                   0,            0.075353,           0.0023525,           0.0023525
                  14,              0.1128,            0.038981,                   0,                   0,                   0,                   0,                   0,             0.11726,            0.034018,                   0,            0.073498,           0.0024981,           0.0024981
                  15,             0.11618,            0.028906,                   0,                   0,                   0,                   0,                   0,              0.1146,            0.032614,                   0,             0.07164,           0.0026396,           0.0026396
                  16,             0.11705,            0.047335,                   0,                   0,                   0,                   0,                   0,             0.11631,            0.031253,                   0,            0.069777,           0.0027773,           0.0027773
                  17,            0.095085,            0.037034,                   0,                   0,                   0,                   0,                   0,             0.11349,            0.030935,                   0,            0.067911,           0.0029109,           0.0029109
                  18,            0.075743,            0.026553,                   0,                   0,                   0,                   0,                   0,             0.11444,            0.030709,                   0,            0.066041,           0.0030407,           0.0030407
                  19,            0.093774,            0.026932,                   0,           0.0011111,            0.066667,          0.00060305,          0.00012061,             0.10955,            0.031758,                   0,            0.064166,           0.0031664,           0.0031664
                  20,             0.10864,            0.037813,                   0,           0.0022222,             0.13333,           0.0083573,          0.00095614,             0.10751,            0.031368,                   0,            0.062288,           0.0032882,           0.0032882
                  21,            0.074518,            0.029584,                   0,           0.0033333,                 0.2,              0.0022,          0.00052628,             0.10373,            0.031157,                   0,            0.060406,            0.003406,            0.003406
                  22,             0.10719,            0.035064,                   0,           0.0044444,             0.26667,           0.0064138,           0.0013759,             0.10696,            0.031621,                   0,             0.05852,           0.0035199,           0.0035199
                  23,             0.10255,            0.034239,                   0,           0.0033333,                 0.2,            0.015618,           0.0034173,               0.107,             0.03105,                   0,             0.05663,           0.0036298,           0.0036298
                  24,             0.10256,            0.048812,                   0,           0.0033333,                 0.2,            0.018556,           0.0039494,             0.10235,            0.030912,                   0,            0.054736,           0.0037358,           0.0037358
                  25,             0.10289,            0.038703,                   0,              0.0075,                 0.6,            0.056569,             0.01207,              0.1003,            0.030175,                   0,            0.052838,           0.0038378,           0.0038378
                  26,             0.10219,            0.037862,                   0,           0.0091667,             0.73333,            0.091224,            0.015641,             0.10317,            0.028225,                   0,            0.050936,           0.0039358,           0.0039358
                  27,            0.095005,            0.035733,                   0,           0.0091667,             0.73333,            0.091224,            0.015641,             0.10317,            0.028225,                   0,             0.04903,           0.0040299,           0.0040299
                  28,            0.092757,            0.026785,                   0,             0.11338,            0.066667,             0.27195,            0.075815,            0.095253,            0.027333,                   0,             0.04712,             0.00412,             0.00412
                  29,            0.096455,             0.03065,                   0,             0.45562,             0.66667,             0.49422,            0.098005,              0.1053,            0.025605,                   0,            0.045206,           0.0042061,           0.0042061
